Cd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3252.16 3.25134
3252.86 3.18980
3254.26 3.13424
3255.65 3.10350
3258.44 3.05882
3261.24 3.01929
3266.82 2.94007
3272.40 2.85492
3283.57 2.65412
3294.73 2.38766
3300.32 2.21466
3305.90 2.00109
3311.48 1.72929
3317.07 1.37207
3319.86 1.15000
3322.65 0.893576
3325.44 0.605755
3328.23 0.319546
3329.63 0.215042
3330.33 0.189939
3331.02 0.196900
3331.72 0.253604
3332.42 0.387986
3333.12 0.645445
3333.47 0.842398
3333.81 1.10152
3334.51 1.89145
3335.21 3.26315
3335.91 5.70940
3336.26 7.62877
3336.61 10.2983
3336.96 14.0933
3337.30 19.6365
3337.65 28.0124
3338.00 41.2156
3338.35 63.1600
3338.70 102.083
3339.05 176.352
3339.22 237.756
3339.40 324.535
3339.71 557.727
3340.03 748.782
3340.35 642.386
3340.66 428.631
3341.02 267.847
3341.37 179.000
3341.72 128.219
3342.08 97.1315
3342.43 76.8461
3342.78 62.8869
3343.49 45.4064
3344.19 35.1780
3344.90 28.6253
3346.31 20.9067
3347.72 16.6091
3349.13 13.9212
3350.54 12.0988
3351.95 10.7901
3354.78 9.04686
3357.60 7.94574
3360.42 7.18913
3363.24 6.63798
3368.89 5.88725
3374.53 5.39714
3380.18 5.04876
3385.82 4.78547
3397.11 4.40544
3408.40 4.13350
3414.05 4.02162
3419.69 3.92365
3422.52 3.88314
3425.34 3.86026
3426.75 3.87114
3428.16 3.94334
3428.87 4.06122
3429.22 4.18219
3429.57 4.40220
3429.93 4.86342
3430.10 5.30947
3430.28 6.08487
3430.46 7.63413
3430.54 9.04706
3430.63 11.3880
3430.72 15.6714
3430.76 19.2736
3430.81 24.7328
3430.85 33.5085
3430.90 48.6814
3430.94 77.1875
3430.98 133.978
3431.02 211.826
3431.06 263.796
3431.10 211.588
3431.13 133.659
3431.15 100.389
3431.18 76.0010
3431.22 47.5182
3431.27 32.5334
3431.31 23.9357
3431.36 18.6179
3431.40 15.1240
3431.49 10.9877
3431.58 8.71842
3431.67 7.37129
3431.85 5.90235
3432.03 5.15912
3432.21 4.73584
3432.58 4.29203
3432.94 4.07560
3433.30 3.95278
3434.02 3.82270
3435.46 3.71350
3436.91 3.66010
3439.79 3.59233
3442.68 3.53861
3448.46 3.43960
3454.23 3.34070
3465.78 3.12562
3477.33 2.86177
3483.11 2.69711
3488.88 2.49719
3494.66 2.24442
3500.43 1.90930
3503.32 1.69621
3506.21 1.44185
3509.09 1.13731
3511.98 0.783815
3513.43 0.601594
3514.87 0.443914
3516.31 0.376392
3517.04 0.424294
3517.76 0.581488
3518.12 0.725182
3518.48 0.932397
3518.84 1.22586
3519.20 1.63793
3519.56 2.21564
3519.92 3.02892
3520.28 4.18467
3520.64 5.84583
3521.00 8.29656
3521.37 12.0040
3521.73 17.8179
3522.09 27.3730
3522.45 44.0723
3522.81 75.6847
3522.99 102.396
3523.17 141.680
3523.35 200.902
3523.53 290.251
3523.81 500.239
3524.09 673.769
3524.36 579.413
3524.64 387.402
3524.97 237.206
3525.30 156.811
3525.62 111.757
3525.95 84.5196
3526.27 66.8884
3526.60 54.8184
3527.25 39.7533
3527.90 30.9693
3528.56 25.3570
3529.86 18.7385
3531.17 15.0464
3532.47 12.7317
3533.77 11.1581
3535.08 10.0250
3537.69 8.50990
3540.30 7.54785
3542.90 6.88393
3545.51 6.39808
3550.73 5.73184
3555.95 5.29299
3561.17 4.97804
3566.38 4.73771
3576.82 4.38534
3587.25 4.12655
3608.12 3.72546
3628.99 3.34928
3639.43 3.12999
3649.86 2.85605
3660.30 2.47288
3665.52 2.20557
3670.73 1.85056
3673.34 1.62494
3675.95 1.35615
3678.56 1.03621
3681.17 0.669730
3682.47 0.485294
3683.78 0.333497
3684.43 0.289895
3685.08 0.289458
3685.73 0.362022
3686.39 0.559349
3686.71 0.732052
3687.04 0.975613
3687.36 1.31549
3687.69 1.78716
3688.02 2.44192
3688.34 3.35569
3688.67 4.64377
3688.99 6.48669
3689.32 9.17754
3689.65 13.2127
3689.97 19.4769
3690.30 29.6456
3690.62 47.1324
3690.95 79.4974
3691.11 106.173
3691.28 144.856
3691.44 201.883
3691.60 285.828
3691.87 493.675
3692.14 666.079
3692.41 574.162
3692.67 384.949
3692.85 289.719
3693.03 222.756
3693.39 142.302
3693.74 99.4643
3694.10 74.5166
3694.46 58.6786
3694.81 48.0275
3695.53 34.9010
3696.24 27.3264
3696.95 22.5051
3698.38 16.8430
3699.80 13.6909
3701.23 11.7260
3701.94 11.0153
3702.65 10.4639
3703.01 10.2752
3703.37 10.2417
3703.54 10.3970
3703.72 10.9549
3703.81 11.6800
3703.90 13.3259
3703.94 15.0311
3703.99 18.0629
3704.01 20.6780
3704.03 24.3426
3704.06 29.7890
3704.08 38.2801
3704.11 55.4431
3704.14 66.6659
3704.17 54.9883
3704.21 37.6766
3704.23 29.4826
3704.25 24.1571
3704.29 17.9889
3704.33 14.7957
3704.38 13.0503
3704.46 11.2612
3704.55 10.4193
3704.72 9.65228
3704.89 9.29509
3705.23 8.92080
3705.57 8.68823
3706.25 8.34687
3706.93 8.07251
3708.29 7.62242
3709.64 7.26010
3711.00 6.96250
3712.36 6.72437
3713.04 6.63600
3713.72 6.59985
3714.06 6.64081
3714.40 6.82933
3714.57 7.10282
3714.74 7.80482
3714.83 8.63021
3714.91 10.4255
3714.96 12.2426
3715.00 15.4118
3715.04 21.6182
3715.06 26.9542
3715.08 35.1285
3715.11 52.2486
3715.15 63.4287
3715.18 51.7763
3715.21 34.5240
3715.24 24.9111
3715.26 19.1774
3715.29 15.5711
3715.32 13.2189
3715.37 10.4621
3715.42 9.05026
3715.53 7.69570
3715.63 7.09907
3715.84 6.59452
3716.05 6.38397
3716.47 6.19509
3716.89 6.09754
3717.73 5.97155
3718.57 5.87540
3720.25 5.71534
3721.93 5.57962
3725.28 5.35726
3728.64 5.18519
3732.00 5.05719
3733.68 5.01223
3735.36 4.98652
3737.04 4.99699
3737.88 5.03083
3738.72 5.10724
3739.56 5.28278
3739.98 5.45731
3740.39 5.76643
3740.81 6.39544
3741.02 6.98900
3741.23 8.00529
3741.44 10.0029
3741.55 11.8195
3741.65 14.8222
3741.76 20.3244
3741.81 25.0276
3741.86 32.0693
3741.92 43.7522
3741.97 63.9499
3742.02 102.841
3742.05 135.736
3742.07 183.408
3742.11 287.966
3742.15 356.600
3742.20 283.931
3742.24 177.894
3742.26 128.725
3742.29 94.5810
3742.32 71.7262
3742.35 56.0912
3742.40 37.1322
3742.46 26.7372
3742.52 20.5157
3742.57 16.5298
3742.68 11.9383
3742.80 9.51481
3742.91 8.09132
3743.13 6.58819
3743.35 5.85336
3743.58 5.44558
3744.03 5.03735
3744.47 4.84880
3744.92 4.74780
3745.81 4.64881
3746.71 4.60351
3747.60 4.57924
3749.39 4.55805
3752.97 4.57442
3756.55 4.68359
3758.34 4.80233
3760.13 5.00213
3761.92 5.35017
3763.71 6.00256
3764.60 6.55535
3765.50 7.39561
3766.39 8.75551
3767.29 11.1559
3767.73 13.1157
3768.18 16.0018
3768.63 20.5115
3769.08 28.1257
3769.52 42.5188
3769.75 55.0253
3769.97 74.5223
3770.19 107.517
3770.42 168.417
3770.53 219.849
3770.64 296.658
3770.75 414.682
3770.86 594.573
3771.01 948.678
3771.16 1182.60
3771.31 944.866
3771.46 591.541
3771.61 369.584
3771.75 243.324
3771.90 169.675
3772.04 124.539
3772.19 94.9384
3772.33 74.8865
3772.62 50.1378
3772.91 36.1729
3773.20 27.5602
3773.78 17.9473
3774.35 12.9861
3774.93 10.1736
3775.22 9.39783
3775.37 9.26996
3775.51 9.50647
3775.65 10.5868
3775.73 11.8356
3775.80 14.1199
3775.87 18.6426
3775.94 28.3117
3775.98 37.5225
3776.02 52.8480
3776.05 79.7172
3776.07 100.414
3776.09 129.659
3776.13 213.399
3776.16 276.220
3776.20 231.732
3776.24 154.065
3776.28 100.015
3776.32 69.9466
3776.36 52.2123
3776.40 41.1126
3776.44 33.7568
3776.48 28.6383
3776.55 22.1475
3776.63 18.3082
3776.71 15.8203
3776.87 12.8368
3777.02 11.1274
3777.18 10.0190
3777.49 8.65087
3777.80 7.81853
3778.11 7.24397
3778.74 6.47913
3779.36 5.97809
3779.99 5.61777
3781.23 5.12805
3782.48 4.80839
3783.73 4.58312
3786.23 4.28540
3788.72 4.09519
3791.22 3.96028
3796.21 3.77229
3801.20 3.63587
3806.20 3.52194
3816.18 3.31658
3826.17 3.10570
3836.15 2.85841
3841.15 2.70940
3846.14 2.53431
3848.64 2.43431
3851.13 2.32614
3852.38 2.27179
3853.63 2.22792
3854.25 2.22435
3854.88 2.27602
3855.19 2.37616
3855.50 2.67454
3855.66 3.06937
3855.81 4.05296
3855.89 5.19043
3855.97 7.61938
3856.01 9.98860
3856.05 14.1101
3856.09 21.9136
3856.11 28.5941
3856.12 37.6241
3856.16 59.4771
3856.19 73.6613
3856.22 59.8178
3856.25 38.0573
3856.28 27.4705
3856.30 20.2251
3856.33 15.4874
3856.35 12.3042
3856.40 8.51025
3856.44 6.49132
