As-75(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1488.94 6.94655
1492.09 6.68635
1498.40 6.30979
1504.70 6.02614
1517.31 5.59328
1529.92 5.25436
1555.14 4.69867
1580.36 4.19010
1605.58 3.64507
1618.19 3.33844
1630.80 3.00914
1637.11 2.84752
1643.41 2.71143
1649.72 2.65466
1656.02 2.82685
1659.17 3.11950
1662.33 3.70816
1665.48 4.87671
1668.63 7.28314
1670.21 9.41469
1671.78 12.7011
1673.36 17.9975
1674.94 27.0520
1676.51 43.8496
1677.30 57.8700
1678.09 78.7160
1678.88 111.041
1679.66 163.616
1680.45 253.257
1681.24 409.280
1682.12 687.394
1683.00 901.837
1683.88 756.982
1684.76 496.480
1685.61 325.984
1686.45 224.973
1687.30 164.018
1688.14 125.320
1688.99 99.4574
1689.83 81.3805
1691.52 58.4259
1693.21 44.9035
1694.90 36.2227
1698.28 26.0203
1701.66 20.3838
1705.04 16.8847
1708.42 14.5293
1711.80 12.8468
1718.56 10.6107
1725.32 9.18477
1732.08 8.16273
1733.77 7.93861
1735.46 7.71696
1736.30 7.60831
1736.73 7.55877
1737.15 7.52154
1737.57 7.52263
1737.78 7.56238
1737.99 7.66760
1738.20 7.92648
1738.31 8.18375
1738.41 8.61101
1738.52 9.37533
1738.63 10.8199
1738.73 13.8765
1738.78 16.6355
1738.84 20.7075
1738.92 30.4458
1739.00 38.4719
1739.08 34.1513
1739.16 25.3332
1739.23 20.1529
1739.30 16.7509
1739.36 14.5170
1739.43 13.0040
1739.56 11.1686
1739.69 10.1491
1739.82 9.51271
1739.95 9.09067
1740.22 8.56740
1740.48 8.25949
1740.74 8.05603
1741.27 7.79853
1741.80 7.63516
1742.32 7.51605
1743.37 7.34092
1745.48 7.09225
1747.58 6.89584
1756.00 6.27838
1764.42 5.76828
1772.83 5.29135
1781.25 4.79256
1785.46 4.51204
1789.67 4.19218
1793.88 3.81681
1795.98 3.61153
1798.08 3.42209
1799.14 3.36021
1800.19 3.36096
1801.24 3.50453
1802.29 3.99174
1803.34 5.40316
1803.87 6.96383
1804.40 9.84514
1804.92 15.6095
1805.18 20.7098
1805.45 28.6565
1805.71 41.6772
1805.97 64.3478
1806.24 106.530
1806.37 140.893
1806.50 188.272
1806.75 320.556
1807.00 426.525
1807.25 363.804
1807.50 243.011
1807.80 148.690
1808.09 98.6623
1808.39 70.7139
1808.69 53.9556
1808.98 43.1084
1809.28 35.7284
1809.87 26.5373
1810.47 21.1894
1811.06 17.7727
1812.24 13.7498
1813.43 11.5015
1814.61 10.0854
1816.99 8.40947
1819.36 7.44782
1821.73 6.81543
1826.47 6.00772
1831.21 5.48010
1835.95 5.07695
1838.32 4.89970
1840.69 4.73334
1841.88 4.65812
1842.47 4.62740
1843.06 4.60984
1843.66 4.62852
1843.95 4.67297
1844.25 4.77514
