Ag-109(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
320.009 3.21779
320.679 2.28639
321.349 1.75411
321.684 1.68568
321.851 1.92871
321.935 2.43627
321.977 3.01760
322.019 4.08577
322.100 6.82303
322.182 4.01375
322.225 2.87927
322.268 2.25794
322.355 1.68243
322.528 1.29621
322.874 1.04907
323.566 0.827832
324.950 0.592697
326.334 0.519189
326.680 0.562262
327.026 0.721314
327.199 0.938568
327.286 1.14015
327.372 1.47382
327.459 2.07789
327.545 3.32341
327.588 4.49352
327.632 6.43906
327.675 9.90892
327.718 16.2920
327.759 25.8783
327.800 32.2467
327.841 25.8520
327.882 16.2870
327.930 9.42133
327.978 5.91997
328.025 4.03879
328.073 2.94347
328.121 2.25857
328.169 1.80463
328.264 1.26160
328.360 0.962127
328.456 0.779395
328.647 0.575777
329.029 0.404736
329.412 0.331179
330.176 0.261218
330.941 0.223530
334.000 0.149112
337.059 0.119196
337.824 0.120387
338.589 0.136127
338.971 0.162216
339.163 0.188544
339.354 0.235469
339.545 0.329709
339.641 0.416435
339.736 0.560393
339.832 0.823901
339.880 1.04531
339.927 1.38035
339.975 1.91759
340.023 2.84264
340.071 4.56909
340.118 7.95456
340.159 12.6734
340.200 15.8187
340.241 12.6745
340.282 7.95548
340.325 4.79987
340.368 3.09315
340.411 2.13310
340.454 1.55634
340.497 1.18717
340.540 0.939477
340.627 0.639071
340.713 0.471496
340.799 0.369081
340.972 0.255532
341.144 0.197194
341.316 0.163200
341.661 0.126769
342.351 0.0973043
343.041 0.0848132
345.800 0.0662627
348.559 0.0595751
349.939 0.0625852
350.284 0.0675866
350.629 0.0816281
350.801 0.0995483
350.974 0.142712
351.060 0.191117
351.146 0.290558
351.189 0.383757
351.232 0.539059
351.275 0.815449
351.319 1.32545
351.359 2.08994
351.400 2.59789
351.441 2.08807
351.482 1.32551
351.516 0.894901
351.550 0.631537
351.585 0.468037
351.619 0.362480
351.687 0.241635
351.756 0.178806
351.893 0.119480
352.030 0.0934696
352.305 0.0717580
352.579 0.0630498
353.677 0.0531060
355.872 0.0492507
360.262 0.0484862
364.653 0.0523012
369.043 0.0624316
373.434 0.0857950
375.629 0.108860
377.824 0.149962
380.019 0.235154
381.117 0.318105
382.214 0.466925
382.763 0.590930
383.312 0.778845
383.861 1.08435
384.410 1.63228
384.684 2.08691
384.958 2.77123
385.233 3.87114
385.507 5.80672
385.644 7.38012
385.782 9.69950
385.919 13.3207
385.987 15.9451
386.056 19.4279
386.125 24.1843
386.193 30.9117
386.262 40.8482
386.330 56.3527
386.365 67.5490
386.399 82.3208
386.433 102.287
386.468 130.024
386.502 169.742
386.536 228.416
386.571 317.343
386.605 452.269
386.652 723.683
386.700 904.633
386.748 723.562
386.795 452.134
386.832 309.084
386.869 217.811
386.906 159.265
386.943 120.508
387.017 75.0155
387.090 50.8006
387.164 36.5546
387.238 27.5182
387.386 17.1786
387.533 11.7327
387.681 8.52465
387.828 6.47991
387.976 5.09836
388.271 3.40719
388.566 2.45269
388.862 1.86347
389.157 1.47597
389.747 1.02000
390.338 0.786461
390.928 0.711851
391.076 0.746773
391.223 0.864765
391.297 1.00606
391.371 1.29427
391.408 1.55576
391.445 1.97302
391.482 2.66902
391.518 3.84867
391.559 5.83644
391.600 7.16121
391.641 5.82901
391.682 3.83339
391.730 2.37826
391.779 1.64769
391.828 1.25731
391.877 1.03100
391.974 0.794566
392.072 0.680403
392.266 0.576179
392.461 0.530777
393.241 0.489833
394.021 0.530905
394.800 0.651738
395.580 0.934736
395.970 1.21670
396.360 1.72080
396.750 2.75857
396.945 3.75004
397.139 5.47632
397.334 8.89494
397.432 12.0270
397.529 17.2152
397.578 21.1986
397.627 26.7356
397.651 30.3609
397.675 34.7498
397.700 40.1745
397.724 46.9173
397.749 55.5003
397.773 66.5772
397.797 81.1511
397.822 100.641
397.846 127.501
397.870 164.982
397.895 218.460
397.919 293.695
397.960 469.670
398.000 586.961
398.020 552.280
398.041 469.618
398.081 293.641
398.129 166.045
398.177 101.844
398.225 67.6205
398.273 47.8101
398.321 35.4612
398.369 27.3322
398.465 17.6671
398.561 12.3850
398.657 9.20544
398.849 5.74366
399.041 4.01124
399.233 3.03355
399.618 2.05473
400.002 1.63956
400.386 1.47780
401.154 1.57735
401.538 1.82020
401.922 2.24626
402.306 2.97522
402.691 4.28483
403.075 6.90689
403.267 9.30570
403.459 13.2598
403.651 20.4348
403.747 26.4053
403.843 35.3579
403.939 49.5542
404.035 73.5533
404.131 117.215
404.227 200.178
404.314 320.155
404.400 400.074
404.487 320.018
404.573 200.032
404.667 118.582
404.760 75.0824
404.854 50.8777
404.947 36.4479
405.041 27.2802
405.134 21.1381
405.321 13.7227
405.508 9.61039
405.695 7.10365
406.069 4.33924
406.443 2.93104
406.817 2.11844
407.191 1.60711
407.565 1.26444
408.313 0.847483
409.061 0.612708
409.809 0.467257
410.557 0.370842
412.054 0.254879
413.550 0.190685
416.542 0.127952
419.534 0.106257
421.030 0.106944
422.526 0.119123
424.022 0.155783
424.770 0.195683
425.518 0.270359
425.893 0.333762
426.267 0.430541
426.641 0.588377
427.015 0.870944
427.202 1.10422
427.389 1.45308
427.576 2.00823
427.763 2.97010
427.950 4.85577
428.043 6.56126
428.137 9.35001
428.230 14.3524
428.277 18.4783
428.324 24.5890
428.370 34.1548
428.417 49.9935
428.464 78.0820
428.487 100.009
428.511 129.417
428.555 207.122
428.600 258.757
428.645 206.908
428.690 129.384
428.737 77.1798
428.785 49.0566
428.833 33.3239
428.881 23.9255
