55-Cs_n-tot
> 55-Cs-133:1.000000
1.263000e+02 5.46749000e+03
1.263560e+02 4.42090000e+03
1.264120e+02 2.79343000e+03
1.264740e+02 1.66352000e+03
1.265350e+02 1.06059000e+03
1.265960e+02 7.24422000e+02
1.266580e+02 5.23986000e+02
1.267190e+02 3.96062000e+02
1.267810e+02 3.10188000e+02
1.269040e+02 2.05869000e+02
1.270260e+02 1.47434000e+02
1.271490e+02 1.11503000e+02
1.273950e+02 7.13161000e+01
1.276410e+02 5.04508000e+01
1.278860e+02 3.81787000e+01
1.281320e+02 3.03156000e+01
1.283780e+02 2.49527000e+01
1.288690e+02 1.82693000e+01
1.293610e+02 1.43803000e+01
1.298520e+02 1.18940000e+01
1.303430e+02 1.01936000e+01
1.313260e+02 8.05425000e+00
1.323090e+02 6.78463000e+00
1.332920e+02 5.95224000e+00
1.342750e+02 5.36575000e+00
1.362400e+02 4.58957000e+00
1.382060e+02 4.09593000e+00
1.391890e+02 3.92741000e+00
1.396800e+02 3.87479000e+00
1.401710e+02 3.86831000e+00
1.406630e+02 3.97663000e+00
1.409090e+02 4.13889000e+00
1.411540e+02 4.48085000e+00
1.414000e+02 5.26818000e+00
1.415230e+02 6.06406000e+00
1.416460e+02 7.48835000e+00
1.417690e+02 1.03600000e+01
1.418300e+02 1.29942000e+01
1.418910e+02 1.73326000e+01
1.419530e+02 2.51552000e+01
1.420140e+02 4.10770000e+01
1.420450e+02 5.57832000e+01
1.420760e+02 7.98346000e+01
1.421060e+02 1.21427000e+02
1.421220e+02 1.53306000e+02
1.421370e+02 1.95306000e+02
1.421530e+02 2.50782000e+02
1.421690e+02 3.14330000e+02
1.422000e+02 3.97071000e+02
1.422320e+02 3.22627000e+02
1.422630e+02 2.05682000e+02
1.422920e+02 1.34749000e+02
1.423200e+02 9.25443000e+01
1.423490e+02 6.70076000e+01
1.423780e+02 5.08630000e+01
1.424350e+02 3.26146000e+01
1.424920e+02 2.32279000e+01
1.425500e+02 1.78037000e+01
1.426070e+02 1.43939000e+01
1.427220e+02 1.05084000e+01
1.428360e+02 8.45775000e+00
1.429510e+02 7.24628000e+00
1.431800e+02 5.95394000e+00
1.434090e+02 5.34240000e+00
1.436390e+02 5.05378000e+00
1.440970e+02 5.06063000e+00
1.443260e+02 5.36010000e+00
1.445560e+02 5.96905000e+00
1.447850e+02 7.12627000e+00
1.450140e+02 9.40681000e+00
1.451290e+02 1.13874000e+01
1.452430e+02 1.44295000e+01
1.453580e+02 1.93768000e+01
1.454730e+02 2.80776000e+01
1.455300e+02 3.50878000e+01
1.455870e+02 4.52360000e+01
1.456450e+02 6.06482000e+01
1.457020e+02 8.54996000e+01
1.457590e+02 1.28874000e+02
1.457880e+02 1.63552000e+02
1.458160e+02 2.13146000e+02
1.458450e+02 2.87318000e+02
1.458740e+02 4.02086000e+02
1.459020e+02 5.87824000e+02
1.459310e+02 8.89356000e+02
1.459660e+02 1.43714000e+03
1.460000e+02 1.81780000e+03
1.460350e+02 1.47885000e+03
1.460690e+02 9.41693000e+02
1.461050e+02 5.78998000e+02
1.461410e+02 3.78445000e+02
1.461770e+02 2.63381000e+02
