Ta-181(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
126.823 123.925
126.900 91.1806
126.978 71.3071
127.055 58.2565
127.133 49.1815
127.288 37.6177
127.444 30.7300
127.599 26.2411
127.754 23.1215
128.064 19.1197
128.375 16.6922
128.685 15.0714
128.996 13.9133
129.617 12.3574
130.238 11.3405
131.479 10.0146
132.721 9.07262
133.342 8.64991
133.963 8.23513
134.584 7.84410
134.895 7.69921
135.205 7.68615
135.360 7.80402
135.515 8.10786
135.671 8.79187
135.826 10.3361
135.904 11.7938
135.981 14.1594
136.059 18.2241
136.136 25.7993
136.175 32.1726
136.214 41.7569
136.253 56.9534
136.292 82.8090
136.311 102.957
136.330 131.324
136.350 172.802
136.369 236.339
136.389 339.464
136.408 519.199
136.418 660.715
136.427 858.833
136.437 1139.85
136.447 1536.33
136.463 2508.45
136.480 3194.33
136.497 2604.67
136.513 1664.28
136.527 1126.50
136.541 791.013
136.555 579.890
136.569 441.960
136.597 281.709
136.624 197.046
136.652 146.900
136.680 114.995
136.735 77.9246
136.791 57.9659
136.846 45.9260
136.957 32.6237
137.069 25.7434
137.180 21.7176
137.402 17.5801
137.624 16.3193
137.735 16.7893
137.846 18.6165
137.957 23.5131
138.012 28.6145
138.068 37.7228
138.123 55.6296
138.151 71.5512
138.179 96.6531
138.206 139.292
138.234 217.728
138.248 283.201
138.262 379.612
138.276 524.856
138.290 741.780
138.310 1207.31
138.330 1541.04
138.350 1263.90
138.370 812.487
138.393 489.170
138.416 317.071
138.439 221.494
138.461 164.389
138.484 127.920
138.507 103.312
138.552 73.2340
138.597 56.2186
138.643 45.6199
138.734 33.5491
138.824 27.0998
138.915 23.1899
139.006 20.6044
139.097 18.7828
139.278 16.4024
139.460 14.9204
139.823 13.1673
140.186 12.1471
140.550 11.4646
141.276 10.5765
142.002 9.99146
142.729 9.55604
143.092 9.38653
143.273 9.32578
143.455 9.30467
143.637 9.38971
143.727 9.53607
143.818 9.85828
143.909 10.6189
143.954 11.3932
144.000 12.7777
144.045 15.5352
144.068 18.0240
144.091 22.0380
144.113 29.0227
144.136 42.4807
144.147 54.2375
144.159 72.1206
144.170 100.446
144.181 145.656
144.188 185.796
144.196 232.347
144.210 294.083
144.224 241.802
144.239 157.468
144.255 98.2975
144.270 66.4176
144.286 48.5546
144.302 37.8207
144.318 30.9415
144.334 26.2895
144.365 20.6082
