V-51(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
73663.0 4.15722
73678.4 3.65227
73693.8 3.11379
73709.1 2.84134
73716.8 3.15512
73724.5 4.27535
73730.9 6.27879
73737.2 9.51701
73743.6 13.4657
73749.9 16.7338
73762.6 18.4105
73775.3 16.7625
73787.6 14.9778
73799.9 13.5893
73812.2 12.5572
73824.6 11.7810
73849.2 10.7096
73873.8 10.0115
73898.4 9.51952
73923.1 9.15217
73972.3 8.63252
74070.8 8.00290
74120.0 7.78640
74144.7 7.69378
74157.0 7.65834
74163.1 7.67404
74166.2 7.79110
74167.8 8.12751
74168.5 8.77001
74169.3 11.2018
74169.9 14.9493
74170.5 11.3518
74171.1 9.11007
74171.8 8.36634
74173.0 7.89841
