24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.602820e+04 4.37823554e+00
1.602830e+04 5.38343140e+00
1.602850e+04 7.45923127e+00
1.602860e+04 8.66106009e+00
1.602870e+04 7.46344043e+00
1.602880e+04 5.85664217e+00
1.602890e+04 4.68053071e+00
1.602900e+04 4.10269724e+00
1.602910e+04 3.77456427e+00
1.602920e+04 3.57581309e+00
1.602940e+04 3.36159606e+00
1.602970e+04 3.25625993e+00
1.603010e+04 3.16111770e+00
1.603050e+04 3.12098103e+00
1.603140e+04 3.08825597e+00
1.603230e+04 3.07572811e+00
1.603410e+04 3.06589154e+00
1.603590e+04 3.06200204e+00
1.604290e+04 3.05672249e+00
1.605710e+04 3.05203508e+00
1.608540e+04 3.04418947e+00
1.614200e+04 3.02894475e+00
1.625510e+04 2.99881599e+00
1.647260e+04 2.94190715e+00
1.648150e+04 2.93970096e+00
1.693420e+04 2.83056939e+00
1.701630e+04 2.81103129e+00
1.701810e+04 2.81060174e+00
1.755140e+04 2.68324689e+00
1.783970e+04 2.61571691e+00
1.809080e+04 2.55233350e+00
1.811300e+04 2.54678988e+00
1.818780e+04 2.52807792e+00
1.822560e+04 2.51861281e+00
1.829240e+04 2.50213759e+00
1.836040e+04 2.48198055e+00
1.842790e+04 2.46260970e+00
1.846160e+04 2.45342427e+00
1.849530e+04 2.44504049e+00
1.852900e+04 2.43866152e+00
1.854590e+04 2.43731185e+00
1.856270e+04 2.43900781e+00
1.857110e+04 2.44211760e+00
1.857960e+04 2.44808364e+00
1.858800e+04 2.45930954e+00
1.859640e+04 2.48105218e+00
1.860060e+04 2.49962487e+00
1.860490e+04 2.52757702e+00
1.860910e+04 2.57220911e+00
1.861330e+04 2.64841490e+00
1.861750e+04 2.79380985e+00
1.861960e+04 2.92067112e+00
1.862170e+04 3.11866509e+00
1.862380e+04 3.45382339e+00
1.862590e+04 4.07091419e+00
1.862700e+04 4.59341530e+00
1.862800e+04 5.36339854e+00
1.862910e+04 6.53802983e+00
1.863010e+04 8.33371707e+00
1.863160e+04 1.19203542e+01
1.863300e+04 1.43002266e+01
1.863440e+04 1.19129779e+01
1.863590e+04 8.35510360e+00
1.863700e+04 6.43492991e+00
1.863810e+04 5.23145375e+00
1.863930e+04 4.46373181e+00
1.864040e+04 3.95753085e+00
1.864270e+04 3.36360290e+00
1.864490e+04 3.05005776e+00
