I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
352.513 3.76992
352.560 3.64910
352.655 3.53947
352.750 3.51078
352.845 3.53640
352.940 3.64537
352.988 3.76851
353.035 3.99833
353.083 4.46638
353.106 4.87846
353.130 5.48895
353.165 6.78657
353.200 7.64818
353.235 6.77705
353.270 5.47708
353.306 4.62180
353.343 4.15067
353.379 3.88202
353.415 3.71864
353.487 3.54099
353.560 3.45187
353.705 3.36756
353.849 3.32815
354.139 3.28877
354.429 3.26610
355.587 3.20647
357.904 3.09775
359.062 3.03906
359.641 3.01052
360.220 2.98795
360.799 2.98941
361.089 3.01832
361.379 3.10048
361.668 3.32697
361.813 3.57878
361.958 4.05870
362.103 5.08704
362.175 6.07543
362.247 7.76584
362.320 10.9500
362.356 13.6770
362.392 17.8558
362.428 24.6344
362.465 36.4238
362.483 45.6810
362.501 58.6039
362.519 76.8681
362.537 102.370
362.553 131.844
362.569 166.102
362.600 211.749
362.616 201.794
362.632 173.905
362.663 112.387
362.687 79.9445
362.710 58.7232
362.734 44.7059
362.758 35.2692
362.805 23.8869
362.852 17.6591
362.900 13.8940
362.947 11.4528
363.041 8.58164
363.136 7.00978
363.230 6.05161
363.420 4.97781
363.609 4.41146
363.798 4.07014
364.176 3.68628
364.554 3.47836
364.932 3.34799
365.689 3.19213
367.201 3.04878
368.714 3.03384
370.227 3.23841
370.983 3.54910
371.740 4.22033
372.118 4.83642
372.496 5.82086
372.874 7.48882
373.252 10.5637
373.631 17.0128
373.820 23.1710
374.009 33.7341
374.198 53.8992
374.292 71.5181
374.387 99.1211
374.482 145.562
374.576 230.839
374.623 301.769
374.671 405.951
374.718 563.342
374.765 800.203
374.833 1293.69
374.900 1635.02
374.968 1323.37
375.035 837.396
375.078 617.041
375.121 463.352
375.207 281.562
375.292 186.883
375.378 132.901
375.464 99.5110
375.550 77.5720
375.721 51.4666
375.893 37.1364
376.064 28.4198
376.407 18.7640
376.750 13.7743
377.093 10.8383
377.779 7.65366
378.465 6.01991
379.151 5.05735
380.523 4.06965
381.209 3.88624
381.894 3.93870
382.580 4.38028
383.266 5.63435
383.609 6.89151
383.952 8.97753
384.295 12.5979
384.638 19.3428
384.810 24.9825
384.981 33.3842
385.153 46.5077
385.324 68.3028
385.496 107.703
385.581 140.090
385.667 187.672
385.753 260.806
385.839 378.513
385.924 577.405
386.010 920.392
386.105 1517.23
386.200 1953.66
386.295 1607.75
386.390 1033.58
386.495 624.648
386.601 404.830
386.706 281.654
386.811 207.550
386.917 159.967
387.022 127.716
387.233 88.1008
387.443 65.5604
387.654 51.4749
388.075 35.3805
388.496 26.7672
388.918 21.5561
389.339 18.1253
389.760 15.7244
390.602 12.6280
391.445 10.7514
392.287 9.55677
