82-Pb_n-g
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
4.697370e+03 6.77162336e-04
4.700770e+03 8.01177589e-04
4.704160e+03 1.02743949e-03
4.707560e+03 1.50895315e-03
4.709250e+03 1.98531782e-03
4.710950e+03 2.84495305e-03
4.712650e+03 4.64631228e-03
4.713500e+03 6.39732389e-03
4.714350e+03 9.49344150e-03
4.714770e+03 1.20308245e-02
4.715190e+03 1.57831696e-02
4.715620e+03 2.16994101e-02
4.716040e+03 3.17574112e-02
4.716470e+03 5.10229318e-02
4.716680e+03 6.79385623e-02
4.716890e+03 9.47850928e-02
4.717100e+03 1.40863983e-01
4.717320e+03 2.28748973e-01
4.717420e+03 3.04806769e-01
4.717530e+03 4.21499564e-01
4.717630e+03 6.07117159e-01
4.717740e+03 9.04958754e-01
4.717870e+03 1.44784935e+00
4.718000e+03 1.80981934e+00
4.718130e+03 1.44782134e+00
4.718260e+03 9.04953131e-01
4.718400e+03 5.41490725e-01
4.718540e+03 3.44965718e-01
4.718670e+03 2.34714312e-01
4.718810e+03 1.68989906e-01
4.718950e+03 1.26696040e-01
4.719090e+03 9.84583134e-02
4.719360e+03 6.40871812e-02
4.719640e+03 4.49039486e-02
4.719910e+03 3.32366164e-02
4.720460e+03 2.03449716e-02
4.721010e+03 1.37633647e-02
4.721560e+03 9.97383389e-03
4.722110e+03 7.59182105e-03
4.722660e+03 5.99821821e-03
4.723760e+03 4.06443254e-03
4.724860e+03 2.98270086e-03
4.727070e+03 1.87735705e-03
4.729270e+03 1.35306970e-03
4.731470e+03 1.06387594e-03
4.735870e+03 7.72347035e-04
4.744670e+03 5.60691018e-04
4.753480e+03 4.85479108e-04
4.771090e+03 4.30821902e-04
4.788700e+03 4.11059835e-04
4.859130e+03 3.89547681e-04
4.929570e+03 3.83059315e-04
5.000000e+03 3.78842340e-04
5.212070e+03 3.72836625e-04
5.424140e+03 3.68081109e-04
5.848280e+03 3.61204457e-04
6.060340e+03 3.60305792e-04
6.250000e+03 3.64501944e-04
6.272410e+03 3.65009092e-04
6.378450e+03 3.74347539e-04
6.431470e+03 3.84230783e-04
6.484480e+03 4.02638472e-04
6.537500e+03 4.42309095e-04
6.564010e+03 4.81841287e-04
6.590520e+03 5.53733359e-04
6.603770e+03 6.14116527e-04
6.617030e+03 7.06013431e-04
6.630280e+03 8.55906999e-04
6.643530e+03 1.12527237e-03
6.650160e+03 1.34890602e-03
6.656790e+03 1.68534747e-03
6.663420e+03 2.22548472e-03
6.670040e+03 3.17386504e-03
6.676670e+03 5.07330709e-03
6.678330e+03 5.84919904e-03
6.679980e+03 6.83213725e-03
6.681640e+03 8.10238320e-03
6.683300e+03 9.78159714e-03
6.684130e+03 1.08330311e-02
6.684950e+03 1.20670954e-02
6.685780e+03 1.35318793e-02
6.686610e+03 1.52833553e-02
6.687440e+03 1.74055933e-02
6.688270e+03 2.00024312e-02
6.689100e+03 2.32271692e-02
6.689920e+03 2.72940075e-02
6.690750e+03 3.25203254e-02
6.691580e+03 3.93551034e-02
6.692410e+03 4.85180814e-02
6.693240e+03 6.10841794e-02
6.694070e+03 7.88362973e-02
6.694890e+03 1.04544756e-01
6.695720e+03 1.42608774e-01
6.696550e+03 1.98867752e-01
6.697780e+03 3.18172919e-01
6.699000e+03 3.97733486e-01
6.699610e+03 3.74220470e-01
6.700230e+03 3.18028654e-01
6.701450e+03 1.98729021e-01
6.702270e+03 1.43163000e-01
6.703080e+03 1.05391258e-01
6.704710e+03 6.19552350e-02
6.706340e+03 4.00533117e-02
6.707970e+03 2.78427484e-02
6.709600e+03 2.04278852e-02
6.711230e+03 1.56243019e-02
6.714490e+03 1.00094314e-02
6.717760e+03 6.99240064e-03
6.721020e+03 5.19167612e-03
6.727540e+03 3.24478909e-03
6.734060e+03 2.27206406e-03
6.740580e+03 1.71795303e-03
6.747100e+03 1.37283260e-03
6.753630e+03 1.14354791e-03
6.766670e+03 8.67443851e-04
6.779710e+03 7.13996593e-04
6.792760e+03 6.20061669e-04
6.805800e+03 5.58472611e-04
6.831890e+03 4.85404429e-04
6.857970e+03 4.45519312e-04
6.910150e+03 4.06149468e-04
6.962320e+03 3.88663289e-04
7.014500e+03 3.80082104e-04
7.118850e+03 3.74423941e-04
7.327540e+03 3.83234980e-04
7.500000e+03 4.08836847e-04
7.536240e+03 4.14578287e-04
7.640590e+03 4.44722264e-04
7.744940e+03 4.91729520e-04
7.849290e+03 5.69308577e-04
7.953640e+03 7.09110634e-04
8.005810e+03 8.24856845e-04
8.057980e+03 9.98200456e-04
8.110160e+03 1.27444390e-03
8.162330e+03 1.75390451e-03
8.214510e+03 2.69659836e-03
8.227550e+03 3.07585240e-03
8.234070e+03 3.29994042e-03
8.240600e+03 3.55204228e-03
8.247120e+03 3.83708630e-03
8.253640e+03 4.16098033e-03
8.260160e+03 4.53101835e-03
8.263420e+03 4.73610636e-03
