W-184(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1333.25 0.189296
1333.53 0.251986
1333.82 0.365364
1333.96 0.460125
1334.11 0.603699
1334.25 0.836435
1334.39 1.25088
1334.46 1.59460
1334.53 2.09989
1334.61 2.91268
1334.68 4.29412
1334.75 7.02263
1334.79 9.48260
1334.80 11.2251
1334.82 13.3477
1334.84 16.3150
1334.86 20.3721
1334.87 26.1072
1334.88 29.8978
1334.89 34.5442
1334.90 40.3105
1334.91 47.5633
1334.92 56.8167
1334.93 68.7983
1334.94 84.5361
1334.95 105.454
1334.96 133.404
1334.96 168.065
1334.98 270.575
1335.00 337.425
1335.01 318.668
1335.02 272.268
1335.04 169.389
1335.05 111.806
1335.07 77.5041
1335.08 54.8683
1335.10 41.2440
1335.13 25.0999
1335.16 16.7590
1335.19 11.9460
1335.22 8.93377
1335.28 5.53076
1335.35 3.75971
1335.41 2.72427
1335.47 2.06766
1335.53 1.63148
1335.66 1.08911
1335.78 0.783728
1335.90 0.595042
1336.03 0.471230
1336.27 0.321663
1336.52 0.239331
1337.02 0.156217
1337.51 0.117289
1338.01 0.0961469
1338.99 0.0754254
1340.97 0.0617609
1342.95 0.0584366
1350.87 0.0650928
1358.78 0.0843867
1366.69 0.120874
1368.67 0.134651
1369.66 0.142574
1370.65 0.151300
1371.64 0.160958
1372.63 0.171662
1373.62 0.183579
1374.61 0.196897
1375.60 0.211861
1376.59 0.228717
1377.58 0.247815
1378.57 0.269571
1379.56 0.294530
1380.54 0.323290
1382.52 0.395819
1384.50 0.497206
1386.48 0.644888
1388.46 0.872223
1390.44 1.24790
1391.43 1.53534
1392.42 1.93454
1393.40 2.51117
1394.39 3.38462
1395.38 4.79022
1396.37 7.21942
1396.87 9.12752
1397.36 11.7905
1397.86 15.5764
1398.35 20.9131
1399.18 33.5242
1400.00 42.3587
1400.83 34.2742
1401.65 21.4959
1402.34 14.3132
1403.02 9.87759
1403.71 7.11576
1404.39 5.33291
1405.77 3.29019
1407.14 2.23452
1408.51 1.62945
1409.88 1.25877
1412.62 0.873627
1415.37 0.757972
1416.74 0.793295
1418.11 0.930519
1419.48 1.28367
1420.17 1.64148
1420.51 1.90901
1420.85 2.26982
1421.02 2.50060
1421.19 2.77347
1421.28 2.93049
1421.37 3.10302
1421.45 3.29312
1421.54 3.50063
1421.62 3.73324
1421.71 3.99196
1421.88 4.60045
1422.05 5.37517
1422.22 6.36815
1422.40 7.68379
1422.57 9.45013
1422.74 11.9211
1422.91 15.4561
1423.08 20.7795
1423.25 29.0482
1423.42 42.4490
1423.59 64.2391
1423.80 101.415
1424.00 120.660
1424.20 92.0897
1424.41 56.9377
1424.58 37.6277
1424.75 25.9243
1424.93 18.6853
1425.10 14.0348
1425.45 8.67684
1425.80 5.87953
1426.14 4.25180
1426.49 3.22594
1427.18 2.05720
1427.88 1.44221
1428.57 1.07871
1429.96 0.686508
1431.35 0.488425
1432.74 0.373296
1435.51 0.248921
1438.29 0.184731
1441.07 0.146264
1446.62 0.103134
1452.17 0.0803361
1457.72 0.0670997
1468.83 0.0557511
1479.93 0.0595964
1485.49 0.0697303
1491.04 0.0914025
1496.59 0.140345
1499.37 0.189265
1502.15 0.277042
1503.53 0.349500
1504.23 0.397795
1504.58 0.426026
1504.92 0.457541
1505.27 0.492866
1505.44 0.512209
1505.62 0.532637
1505.96 0.577629
1506.31 0.628790
1506.66 0.687297
1507.00 0.754616
1507.35 0.832602
1507.70 0.923616
1508.05 1.03071
1508.39 1.15788
1509.09 1.49555
1509.78 2.00688
1510.13 2.36690
1510.47 2.83257
1510.82 3.44871
1511.17 4.28596
1511.52 5.46014
1511.86 7.16968
1512.21 9.77105
1512.56 13.9328
1512.90 20.9259
1513.25 32.8889
1513.63 52.4674
1514.00 64.7167
1514.38 51.0504
1514.75 31.7773
1515.04 21.7292
1515.33 15.3308
1515.62 11.2254
1515.91 8.51266
1516.49 5.31448
1517.08 3.60751
1517.66 2.60120
1518.24 1.96187
1519.40 1.22911
1520.56 0.842470
1521.72 0.614400
1522.89 0.468872
1524.05 0.370450
1526.37 0.249803
1528.70 0.181705
1531.02 0.139750
1533.34 0.112394
1537.99 0.0818468
1542.64 0.0731223
1544.97 0.0810316
1546.13 0.0927188
1547.29 0.116657
1548.45 0.170886
1549.03 0.225972
1549.61 0.326928
1549.91 0.412155
1550.20 0.541539
1550.49 0.753282
1550.78 1.13182
1550.92 1.44761
1551.07 1.91855
1551.21 2.67113
1551.36 3.98326
1551.50 6.60742
1551.58 9.01881
1551.61 10.7235
1551.65 12.9576
1551.69 16.0597
1551.72 20.2664
1551.74 23.0066
1551.76 26.3298
1551.78 30.4086
1551.79 35.4824
1551.81 42.2923
1551.83 50.6344
1551.85 61.5502
1551.87 76.1164
1551.88 95.9485
1551.90 123.448
1551.92 161.996
1551.94 215.535
1551.97 342.083
1552.00 420.692
1552.02 391.697
1552.03 328.871
1552.06 205.227
1552.09 136.778
1552.11 95.8640
1552.14 69.8730
1552.16 52.7669
1552.21 32.7809
1552.26 22.1791
1552.32 15.8552
1552.37 11.9418
1552.47 7.45998
1552.57 5.07872
1552.67 3.69138
1552.77 2.80548
1552.87 2.20586
1553.07 1.46730
1553.27 1.04967
1553.47 0.790804
1553.67 0.620049
1554.07 0.413813
1554.47 0.299586
1554.87 0.229405
1555.28 0.183368
1556.08 0.128275
1556.88 0.0977122
1558.49 0.0663960
1560.09 0.0511347
1561.70 0.0423308
1564.91 0.0326684
1571.33 0.0240714
1577.76 0.0199424
1590.60 0.0159336
1603.45 0.0145489
1616.29 0.0154106
1622.72 0.0172742
1629.14 0.0212663
1635.56 0.0304506
1638.77 0.0398434
1641.99 0.0571537
1643.59 0.0718290
1645.20 0.0943246
1646.80 0.131332
1648.41 0.198545
1649.21 0.254976
1650.01 0.340785
1650.82 0.480538
1651.62 0.730630
1652.02 0.938133
1652.42 1.24865
1652.82 1.74642
1653.03 2.11561
1653.23 2.61289
1653.43 3.31272
1653.53 3.77546
1653.63 4.33588
1653.73 5.03824
1653.83 5.91529
1653.93 7.04118
1654.03 8.51862
1654.13 10.5318
1654.23 13.3064
1654.33 17.3127
1654.43 23.3752
1654.53 33.2242
1654.63 50.0796
1654.68 63.2564
1654.73 81.6120
1654.78 107.508
1654.83 143.796
1654.92 229.845
1655.00 286.208
1655.09 228.097
1655.17 142.425
1655.24 96.7952
1655.30 68.2470
1655.37 49.7098
1655.44 37.6505
1655.57 23.3964
1655.70 15.8242
1655.84 11.3746
1655.97 8.55435
1656.23 5.32943
1656.50 3.63166
1656.77 2.63164
1657.03 1.99416
1657.30 1.56326
1657.83 1.03525
1658.36 0.736476
1658.89 0.551231
1659.43 0.428537
1660.49 0.281262
1661.55 0.199618
1662.62 0.149703
1663.68 0.116978
