Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
300.275 10.0373
300.464 8.63618
300.652 7.72615
300.841 7.09773
301.219 6.30479
301.596 5.85760
301.785 5.73167
301.974 5.71317
302.068 5.80510
302.162 6.11177
302.210 6.48384
302.257 7.25761
302.280 7.97417
302.304 9.14182
302.328 11.1453
302.351 14.6408
302.376 20.2719
302.400 23.9991
302.425 20.2244
302.449 14.5942
302.470 11.4125
302.490 9.45632
302.511 8.23902
302.531 7.45345
302.572 6.54219
302.614 6.06190
302.655 5.77620
302.696 5.59157
302.778 5.36933
302.943 5.15375
303.107 5.03996
303.437 4.90295
303.766 4.81095
304.424 4.68096
305.082 4.58802
306.399 4.45825
307.716 4.36795
310.349 4.23865
312.982 4.13248
315.615 4.01975
316.932 3.95240
318.249 3.87248
318.907 3.82716
319.565 3.77969
320.224 3.73579
320.882 3.71561
321.211 3.73299
321.540 3.79564
321.870 3.95629
322.199 4.34896
322.363 4.73542
322.528 5.38040
322.693 6.51700
322.857 8.68610
323.022 13.3750
323.104 17.9281
323.186 25.8032
323.227 32.0340
323.269 40.8876
323.310 54.0466
323.351 74.5062
323.392 108.563
323.433 169.664
323.454 219.343
323.474 290.385
323.495 394.830
323.515 546.463
323.548 893.271
323.580 1140.93
323.612 933.974
323.645 598.763
323.675 389.317
323.705 265.824
323.735 191.360
323.765 144.220
323.825 91.0685
323.886 63.6595
323.946 47.7485
324.006 37.6897
324.126 26.1205
324.247 19.9241
324.367 16.1905
324.488 13.7495
324.608 12.0554
324.849 9.89828
325.090 8.61020
325.330 7.76857
325.571 7.18217
326.053 6.42812
326.535 5.97044
327.016 5.66620
327.498 5.45089
328.461 5.17017
329.424 5.00560
329.906 4.95947
330.147 4.95056
330.388 4.96016
330.628 5.01101
330.749 5.07202
330.869 5.18783
330.990 5.42956
331.050 5.65615
331.110 6.03627
331.170 6.73939
331.200 7.33514
331.230 8.24337
331.260 9.71384
331.291 12.2801
331.321 17.1651
331.336 21.2601
331.351 27.0381
331.375 40.4191
331.400 49.2880
331.425 40.3613
331.449 27.0353
331.472 19.0084
331.495 14.2908
331.517 11.4652
331.540 9.68916
331.585 7.70821
331.630 6.70279
331.675 6.12819
331.721 5.77028
331.811 5.36664
331.901 5.15497
331.992 5.02951
332.172 4.89229
332.353 4.82062
332.534 4.77726
332.895 4.72916
333.257 4.71125
333.438 4.71498
333.618 4.73459
333.799 4.78956
333.889 4.84730
333.980 4.95064
334.070 5.15621
334.115 5.34188
334.160 5.64207
334.206 6.17233
334.251 7.22403
334.273 8.17129
334.296 9.68403
334.319 12.2208
334.341 16.5333
334.366 23.7072
334.390 28.4627
334.415 23.6750
334.439 16.5302
334.455 13.2044
334.471 10.9345
334.504 8.32221
334.536 6.99913
334.568 6.25817
334.601 5.80700
334.633 5.51357
334.697 5.16898
334.762 4.98220
334.827 4.86947
334.956 4.74491
335.085 4.67989
335.214 4.64063
335.473 4.59515
335.731 4.56841
335.990 4.54964
336.506 4.52252
337.540 4.48414
338.574 4.45392
340.641 4.40367
342.709 4.35925
344.776 4.31475
345.810 4.29045
346.844 4.26341
347.877 4.23319
348.394 4.21826
348.911 4.20808
349.169 4.20874
349.428 4.21908
349.686 4.25061
349.945 4.33277
350.074 4.41557
350.203 4.55517
350.332 4.80303
350.462 5.27898
350.591 6.31089
350.655 7.31409
350.720 9.04922
350.785 12.3691
350.817 15.2558
350.849 19.7455
350.881 27.1753
350.914 40.4696
350.946 66.5470
350.962 88.9664
350.978 121.283
350.991 156.161
351.004 196.383
351.030 250.163
351.056 205.623
351.082 133.214
351.103 91.7719
351.125 65.8914
351.146 49.4476
351.168 38.7132
351.210 26.1504
351.253 19.4731
351.296 15.5077
351.339 12.9678
351.425 10.0139
351.511 8.41252
351.596 7.44246
351.682 6.80542
351.768 6.36194
351.939 5.79530
352.111 5.45603
352.282 5.23389
352.454 5.07889
352.797 4.87883
353.139 4.75668
353.482 4.67479
353.825 4.61618
354.511 4.53767
355.197 4.48702
356.569 4.42394
357.941 4.38438
