Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.90331E+06 2.16111
1.90440E+06 2.20056
1.90548E+06 2.11937
1.90656E+06 2.19106
1.90765E+06 2.17380
1.90790E+06 2.18795
1.90874E+06 2.23550
1.90983E+06 2.35475
1.91091E+06 2.61220
1.91200E+06 2.78235
1.91309E+06 3.09244
1.91437E+06 3.32061
1.91583E+06 3.73617
1.91728E+06 4.01138
1.91874E+06 4.21326
1.92021E+06 4.34020
1.92167E+06 4.38589
1.92314E+06 4.46521
1.92460E+06 4.56623
1.92570E+06 4.55002
1.92644E+06 4.61740
1.92717E+06 4.74171
1.92791E+06 5.13189
1.92865E+06 5.17160
1.92938E+06 4.81656
1.93012E+06 4.38128
1.93086E+06 4.23849
1.93159E+06 4.11940
1.93233E+06 4.13351
1.93307E+06 4.12447
1.93381E+06 4.05484
1.93510E+06 3.92928
1.93696E+06 3.89918
1.93881E+06 3.85565
1.94067E+06 3.76017
1.94253E+06 3.66674
1.94439E+06 3.66598
1.94625E+06 3.65303
1.94812E+06 3.60188
1.94999E+06 3.61767
1.95186E+06 3.58221
1.95374E+06 3.58347
1.95562E+06 3.62280
1.95750E+06 3.68324
1.95938E+06 3.74475
1.96108E+06 3.88593
1.96259E+06 3.96443
1.96410E+06 4.10785
1.96562E+06 4.33500
1.96713E+06 4.51581
1.96865E+06 4.83306
1.97017E+06 4.98247
1.97169E+06 5.24375
1.97321E+06 5.30629
1.97474E+06 5.33049
1.97626E+06 5.04431
1.97779E+06 4.90955
1.97932E+06 4.58824
1.98086E+06 4.23585
1.98239E+06 3.96229
1.98392E+06 3.78151
1.98546E+06 3.64627
1.98662E+06 3.47587
1.98739E+06 3.37997
1.98816E+06 3.49800
1.98893E+06 3.64473
1.98970E+06 3.62056
1.99047E+06 3.35864
1.99124E+06 3.12066
1.99202E+06 3.02271
1.99279E+06 2.93558
1.99356E+06 2.96760
1.99434E+06 2.96893
1.99511E+06 2.91994
1.99589E+06 2.88031
1.99724E+06 2.81813
1.99918E+06 2.77095
2.00000E+06 2.74694
2.00113E+06 2.71384
2.00308E+06 2.62237
2.00503E+06 2.58102
2.00698E+06 2.47573
2.00893E+06 2.48695
2.01089E+06 2.39581
2.01285E+06 2.38589
2.01482E+06 2.35636
2.01678E+06 2.34004
2.01875E+06 2.29327
2.02073E+06 2.28185
2.02270E+06 2.24246
2.02468E+06 2.23865
2.02666E+06 2.17186
2.02865E+06 2.12157
2.03063E+06 2.10923
2.03262E+06 2.07771
2.03462E+06 2.01304
2.03661E+06 1.93865
2.03801E+06 1.90357
2.03881E+06 1.69894
2.03961E+06 1.59587
2.04041E+06 1.42587
2.04122E+06 1.30869
2.04202E+06 1.46051
2.04282E+06 1.68319
2.04362E+06 1.97630
2.04443E+06 2.03907
2.04523E+06 2.07237
2.04644E+06 2.02409
2.04805E+06 2.05838
2.04966E+06 1.98739
2.05128E+06 1.91919
2.05289E+06 1.98740
2.05451E+06 2.00990
2.05613E+06 2.01794
2.05735E+06 2.06618
2.05816E+06 2.17014
2.05897E+06 2.29354
2.05978E+06 2.44011
2.06060E+06 2.55155
2.06141E+06 2.88447
2.06222E+06 3.12062
2.06304E+06 3.13658
2.06385E+06 2.61831
2.06467E+06 2.23651
2.06548E+06 2.07093
2.06630E+06 2.02595
2.06752E+06 1.92265
2.06916E+06 1.90138
2.07080E+06 1.84871
2.07244E+06 1.81346
2.07408E+06 1.88359
2.07572E+06 1.88390
2.07737E+06 1.97259
2.07902E+06 2.03858
2.08025E+06 2.04027
2.08108E+06 2.22599
2.08190E+06 2.40795
2.08273E+06 2.74181
2.08356E+06 3.23051
2.08438E+06 3.51642
2.08521E+06 3.45937
2.08604E+06 3.10213
2.08687E+06 3.15274
2.08770E+06 3.30718
2.08853E+06 3.71131
2.08936E+06 4.02392
2.09019E+06 4.45707
2.09102E+06 4.52561
2.09185E+06 4.44376
2.09268E+06 4.22597
2.09351E+06 4.15633
2.09435E+06 4.11736
2.09518E+06 4.13103
2.09601E+06 4.07120
2.09727E+06 4.06360
2.09860E+06 4.01892
2.09894E+06 4.00749
2.10061E+06 3.93219
2.10229E+06 3.88648
2.10396E+06 3.81642
2.10564E+06 3.74105
2.10732E+06 3.73463
2.10901E+06 3.70621
2.11027E+06 3.84034
2.11111E+06 3.82696
2.11196E+06 3.89427
2.11280E+06 4.08609
2.11364E+06 4.28278
2.11449E+06 4.67752
2.11534E+06 5.06036
2.11618E+06 5.62701
2.11703E+06 5.79727
2.11788E+06 5.61727
2.11872E+06 5.21538
2.11957E+06 4.92355
2.12042E+06 4.34330
2.12127E+06 4.07139
2.12212E+06 3.89879
2.12297E+06 3.71488
2.12382E+06 3.53426
2.12467E+06 3.57432
2.12574E+06 3.39127
2.12701E+06 3.24288
2.12829E+06 3.10324
