19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
6.010840e+03 1.80502368e+00
6.011100e+03 1.13043734e+00
6.011340e+03 7.23555843e-01
6.011580e+03 4.85463280e-01
6.011820e+03 3.42747464e-01
6.012060e+03 2.53005193e-01
6.012550e+03 1.52896493e-01
6.013030e+03 1.02125933e-01
6.013510e+03 7.31630990e-02
6.013990e+03 5.51733232e-02
6.014960e+03 3.49916671e-02
6.015920e+03 2.45463185e-02
6.016880e+03 1.84703232e-02
6.018810e+03 1.20412188e-02
6.020740e+03 8.88774939e-03
6.022670e+03 7.11105638e-03
6.026530e+03 5.28077625e-03
6.034240e+03 3.90680116e-03
6.041950e+03 3.39284435e-03
6.057380e+03 2.98253782e-03
6.072800e+03 2.80311902e-03
6.090330e+03 2.71718422e-03
6.134510e+03 2.50321194e-03
6.257920e+03 2.24028806e-03
6.381330e+03 2.09239675e-03
6.504750e+03 1.99553965e-03
6.635490e+03 1.93193517e-03
6.751570e+03 1.88213357e-03
6.998390e+03 1.82282060e-03
7.180650e+03 1.79492465e-03
7.245220e+03 1.79251181e-03
7.492040e+03 1.79473682e-03
7.725810e+03 1.80387019e-03
7.738860e+03 1.80695767e-03
7.862280e+03 1.84122635e-03
7.923980e+03 1.87191905e-03
7.954830e+03 1.93940026e-03
7.970260e+03 2.17581033e-03
7.977970e+03 3.06164535e-03
7.979900e+03 3.93263470e-03
7.981830e+03 6.25724810e-03
7.982790e+03 9.24060521e-03
7.983760e+03 1.66976757e-02
7.984240e+03 2.54994557e-02
7.984720e+03 4.49917267e-02
7.984960e+03 6.48774891e-02
7.985200e+03 1.01382329e-01
7.985450e+03 1.76586379e-01
7.985570e+03 2.44813722e-01
7.985690e+03 3.47336120e-01
7.985850e+03 5.55038287e-01
7.986020e+03 6.92475005e-01
7.986190e+03 5.54040853e-01
7.986360e+03 3.47592092e-01
7.986480e+03 2.45683629e-01
7.986590e+03 1.78531964e-01
7.986830e+03 1.03344883e-01
7.987070e+03 6.64546986e-02
7.987300e+03 4.62214840e-02
7.987770e+03 2.62728576e-02
7.988250e+03 1.72192797e-02
7.989190e+03 9.52051342e-03
7.990130e+03 6.43145050e-03
7.992020e+03 4.01936218e-03
7.993910e+03 3.11569490e-03
7.998390e+03 2.57090839e-03
8.001460e+03 2.19854796e-03
8.016570e+03 1.96486070e-03
8.046780e+03 1.92010069e-03
8.107210e+03 1.93958897e-03
8.228060e+03 2.00852049e-03
8.270980e+03 2.03642545e-03
8.288480e+03 2.05600304e-03
8.348910e+03 2.13300593e-03
8.407270e+03 2.26671021e-03
8.409340e+03 2.27269484e-03
8.424440e+03 2.37521625e-03
8.439550e+03 2.62041294e-03
8.447100e+03 2.93845095e-03
8.454650e+03 3.81142253e-03
8.458430e+03 5.00014156e-03
8.460320e+03 6.17221837e-03
8.462210e+03 8.28591994e-03
8.464100e+03 1.27120725e-02
8.465040e+03 1.70108412e-02
8.465980e+03 2.46218616e-02
8.466930e+03 4.00686432e-02
8.467400e+03 5.45761879e-02
8.467870e+03 7.92996890e-02
8.468340e+03 1.26537872e-01
8.468580e+03 1.68107506e-01
8.468820e+03 2.34122741e-01
8.469050e+03 3.47534207e-01
8.469290e+03 5.64151249e-01
8.469410e+03 7.51903596e-01
8.469520e+03 1.04039391e+00
8.469640e+03 1.50018113e+00
8.469760e+03 2.23967455e+00
8.469900e+03 3.58233179e+00
8.470050e+03 4.47783608e+00
8.470190e+03 3.58296498e+00
8.470340e+03 2.24020053e+00
8.470430e+03 1.62434898e+00
8.470520e+03 1.20536535e+00
8.470710e+03 7.14548789e-01
8.470900e+03 4.64145601e-01
8.471080e+03 3.23913854e-01
8.471270e+03 2.37790514e-01
8.471460e+03 1.81766130e-01
8.471830e+03 1.16204238e-01
8.472200e+03 8.07406291e-02
8.472580e+03 5.95783665e-02
8.473320e+03 3.66056664e-02
8.474070e+03 2.51021819e-02
8.474820e+03 1.85393769e-02
8.476310e+03 1.17261375e-02
8.477810e+03 8.44675728e-03
8.479300e+03 6.62211524e-03
8.482290e+03 4.77099082e-03
8.488260e+03 3.42224197e-03
8.494240e+03 2.94752856e-03
8.506190e+03 2.61683578e-03
8.518140e+03 2.51273496e-03
8.543560e+03 2.49071000e-03
8.565940e+03 2.49591432e-03
8.661540e+03 2.72864362e-03
8.679850e+03 2.77798085e-03
8.757150e+03 3.16043117e-03
8.816140e+03 3.45464314e-03
8.852750e+03 3.75956007e-03
8.884280e+03 4.02275691e-03
8.952430e+03 4.87940256e-03
8.986500e+03 5.47978349e-03
9.020570e+03 6.25387795e-03
9.054650e+03 7.27537762e-03
9.088720e+03 8.66142872e-03
9.122790e+03 1.06077002e-02
9.156870e+03 1.34602851e-02
9.190940e+03 1.78785770e-02
9.207970e+03 2.10563218e-02
9.225010e+03 2.52448227e-02
9.235170e+03 2.86270756e-02
9.242050e+03 3.09174836e-02
9.259080e+03 3.88545302e-02
9.276120e+03 5.04137721e-02
9.293160e+03 6.81080631e-02
9.310190e+03 9.69494002e-02
9.327230e+03 1.47799519e-01
9.335750e+03 1.88413438e-01
9.344260e+03 2.46082528e-01
9.352780e+03 3.29259760e-01
9.361300e+03 4.48437898e-01
9.374870e+03 7.13487796e-01
9.388440e+03 8.77552535e-01
9.402010e+03 6.91406124e-01
9.415580e+03 4.30708858e-01
9.424710e+03 3.09631611e-01
9.433840e+03 2.27673253e-01
9.442980e+03 1.72189304e-01
9.452110e+03 1.33820219e-01
9.470370e+03 8.66507516e-02
9.488630e+03 6.03668274e-02
9.506900e+03 4.44254106e-02
9.525160e+03 3.40955240e-02
9.561690e+03 2.20298373e-02
9.598210e+03 1.55491925e-02
9.634740e+03 1.16826914e-02
9.671260e+03 9.19577908e-03
9.707790e+03 7.50371449e-03
9.780840e+03 5.41604333e-03
9.853900e+03 4.22631950e-03
9.926950e+03 3.48451086e-03
1.000000e+04 2.99075116e-03
1.017480e+04 2.31527097e-03
1.026220e+04 2.12324505e-03
1.030600e+04 2.07083967e-03
1.032780e+04 2.14184229e-03
1.033870e+04 2.54708529e-03
1.034420e+04 4.18805935e-03
1.034690e+04 1.04785969e-02
1.034830e+04 3.36177945e-02
