Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1455.69 1.09923
1455.78 1.78180
1455.83 2.37785
1455.87 3.25607
1455.94 5.14065
1456.00 6.37092
1456.07 5.10973
1456.13 3.25495
1456.18 2.29601
1456.23 1.68402
1456.33 1.00702
1456.42 0.682823
1456.52 0.507562
1456.71 0.336546
1456.91 0.259283
1457.30 0.193030
1457.68 0.165514
1459.24 0.131086
1462.34 0.111327
1468.55 0.0909664
1480.96 0.0716623
1487.17 0.0724442
1490.27 0.0781990
1493.38 0.0920120
1496.48 0.125356
1498.03 0.159882
1499.58 0.223477
1500.36 0.277064
1501.14 0.358549
1501.91 0.490928
1502.69 0.726862
1503.08 0.920857
1503.46 1.20987
1503.85 1.66745
1504.24 2.45452
1504.63 3.97998
1504.82 5.34283
1505.02 7.54202
1505.21 11.4097
1505.40 19.0742
1505.50 25.9809
1505.60 37.0215
1505.70 55.5631
1505.79 86.8942
1505.90 139.190
1506.00 173.571
1506.11 138.644
1506.21 86.8773
1506.29 59.6941
1506.37 42.2386
1506.45 30.9817
1506.53 23.4987
1506.69 14.6783
1506.85 9.98639
1507.01 7.19723
1507.17 5.43444
1507.49 3.40420
1507.81 2.32947
1508.13 1.69754
1508.44 1.29401
1508.76 1.02087
1509.40 0.685244
1510.04 0.495335
1510.68 0.377202
1511.32 0.298941
1512.59 0.204623
1513.87 0.152048
1516.43 0.0982536
1518.98 0.0723860
1521.53 0.0577618
1526.64 0.0422585
1536.86 0.0293717
1547.07 0.0235839
1567.51 0.0180847
1587.94 0.0159943
1608.37 0.0166055
1618.59 0.0185729
1628.80 0.0229755
1639.02 0.0332801
1644.13 0.0438632
1649.23 0.0633731
1651.79 0.0798839
1654.34 0.105141
1656.90 0.146563
1659.45 0.221516
1660.73 0.284144
1662.00 0.378982
1663.28 0.532595
1664.56 0.805855
1665.20 1.03059
1665.83 1.36485
1666.47 1.89512
1667.11 2.80662
1667.43 3.53376
1667.75 4.57974
1668.07 6.16538
1668.39 8.73017
1668.55 10.6545
1668.71 13.2767
1668.87 16.9677
1669.03 22.3266
1669.19 30.5745
1669.35 43.7814
1669.51 66.3615
1669.67 105.369
1669.83 168.902
1670.00 210.957
1670.17 168.464
1670.34 105.336
1670.44 77.7317
1670.54 58.5199
1670.74 35.4930
1670.95 23.3778
1671.15 16.4250
1671.36 12.1235
1671.56 9.29684
1671.97 5.95039
1672.38 4.12762
1672.79 3.03644
1673.60 1.85820
1674.42 1.29126
1675.23 1.04148
1675.64 1.04406
1676.05 1.25466
1676.25 1.57870
1676.46 2.36049
1676.56 3.19131
1676.66 4.76001
1676.71 6.09552
1676.76 8.10700
1676.82 11.2277
1676.87 16.0893
1676.93 25.4760
1677.00 31.7503
1677.07 25.4586
1677.13 16.0537
1677.19 10.5889
1677.25 7.35583
1677.31 5.37071
1677.37 4.09820
1677.48 2.64860
1677.60 1.89544
1677.72 1.45645
1677.83 1.17782
1678.06 0.854504
1678.53 0.567138
1678.99 0.437410
1679.92 0.310703
1680.85 0.243879
1682.71 0.169155
1684.56 0.126913
1688.28 0.0809203
1691.99 0.0571447
1695.71 0.0431306
1699.42 0.0341509
1706.85 0.0236816
1714.28 0.0180157
1721.71 0.0145936
1736.56 0.0108254
1766.28 0.00782144
1795.99 0.00683596
1825.71 0.00675256
1855.42 0.00754559
1870.28 0.00853079
1885.14 0.0105531
1892.56 0.0126665
1899.99 0.0175085
1903.71 0.0234748
1907.42 0.0392771
1909.28 0.0604086
1910.21 0.0811213
1911.14 0.118281
1912.06 0.195817
1912.53 0.270839
1912.99 0.403231
1913.23 0.511705
1913.46 0.671491
1913.69 0.921915
1913.92 1.34653
1914.15 2.15158
1914.27 2.85421
1914.39 3.96045
1914.50 5.83730
1914.62 9.35337
1914.68 12.3402
1914.73 16.8393
1914.79 23.8279
1914.85 34.7344
1914.93 55.7212
1915.00 69.4699
1915.08 55.4276
1915.15 34.7361
1915.20 25.3871
1915.25 18.9054
1915.34 11.3420
1915.44 7.42028
1915.53 5.19094
1915.63 3.80906
1915.72 2.91623
1915.91 1.86284
1916.10 1.28923
1916.29 0.946954
1916.67 0.574619
1917.06 0.387174
1917.44 0.280374
1918.20 0.169234
1918.96 0.115718
1919.72 0.0860617
1921.24 0.0561727
1922.76 0.0423610
1924.29 0.0350668
1927.33 0.0284895
1933.42 0.0262763
1939.51 0.0293492
1945.60 0.0361916
1951.69 0.0485923
1957.78 0.0741181
1959.30 0.0865346
1960.82 0.108562
1961.59 0.130869
1962.35 0.181888
1962.73 0.242991
1963.11 0.390640
1963.30 0.563796
1963.49 0.943853
1963.58 1.33082
1963.68 2.04084
1963.73 2.63914
1963.77 3.50420
1963.82 4.84355
1963.87 6.83283
1963.93 10.8782
1964.00 13.5802
1964.07 10.8799
1964.13 6.83607
1964.21 3.99850
1964.28 2.52929
1964.36 1.73139
1964.43 1.26381
1964.58 0.775889
1964.73 0.543675
1965.03 0.340656
1965.33 0.258969
1965.93 0.199057
1966.53 0.182207
1968.93 0.203366
1971.33 0.275701
1973.73 0.411503
1974.93 0.523950
1976.13 0.691319
1977.32 0.955767
1978.52 1.40894
1979.12 1.76776
1979.72 2.28293
1980.32 3.05906
1980.92 4.30078
1981.52 6.46630
1981.82 8.19733
1982.12 10.6820
1982.42 14.4221
1982.72 20.2983
1983.02 29.9391
1983.32 45.9105
1983.66 73.2234
1984.00 91.3257
1984.34 73.1934
1984.68 45.8810
1984.92 32.4677
1985.16 23.5570
1985.40 17.5923
1985.64 13.5395
1986.12 8.62002
1986.60 5.92527
1987.07 4.30405
1987.55 3.26159
1988.51 2.05397
1989.47 1.40913
1990.43 1.02650
1991.38 0.780912
1992.34 0.614388
1994.26 0.409352
1996.17 0.292886
1998.09 0.220514
2000.00 0.172528
2002.56 0.130195
2005.11 0.102359
2010.22 0.0693295
2015.33 0.0514727
2020.43 0.0410998
2025.54 0.0351058
2030.65 0.0326558
2033.21 0.0334877
2035.76 0.0385274
2037.04 0.0463084
2038.31 0.0682829
2038.95 0.0977403
2039.59 0.175432
2039.91 0.273961
2040.23 0.513828
2040.39 0.789703
2040.55 1.37213
2040.63 1.94225
2040.71 2.93483
2040.79 4.81741
2040.87 8.53309
2040.93 13.6165
2041.00 16.9971
2041.07 13.6169
2041.13 8.53362
2041.17 6.33730
2041.21 4.78545
2041.29 2.93525
2041.37 1.95181
2041.45 1.38350
2041.61 0.794763
2041.77 0.519004
2042.08 0.276858
2042.40 0.177512
2043.03 0.0988333
2043.67 0.0690538
2044.94 0.0468613
2046.20 0.0390815
2048.74 0.0342831
2051.27 0.0339675
2056.35 0.0387610
2061.42 0.0510400
2063.95 0.0621189
2066.49 0.0794251
2069.02 0.108200
2071.56 0.160722
2072.83 0.204851
2074.09 0.271917
