Br-81(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1823.19 2.90197
1823.30 3.79984
1823.41 5.22384
1823.52 7.66862
1823.64 12.3384
1823.69 16.4315
1823.75 22.6123
1823.81 32.4260
1823.86 48.1425
1823.93 76.9129
1824.00 96.1116
1824.07 76.9215
1824.14 48.1595
1824.21 28.5870
1824.29 18.2629
1824.36 12.4964
1824.44 9.04958
1824.51 6.85624
1824.58 5.38572
1824.73 3.61125
1824.88 2.62529
1825.03 2.03310
1825.32 1.39057
1825.62 1.07620
1825.92 0.909237
1826.51 0.771321
1827.69 0.810415
1828.88 1.09693
1829.47 1.36170
1830.06 1.76452
1830.66 2.40669
1831.25 3.50257
1831.55 4.36689
1831.84 5.59424
1832.14 7.42210
1832.43 10.3050
1832.58 12.4241
1832.73 15.2288
1832.88 19.0621
1833.03 24.4621
1833.18 32.3334
1833.32 44.2304
1833.47 62.7911
1833.62 91.9028
1833.81 147.172
1834.00 183.744
1834.19 146.829
1834.38 91.8672
1834.50 66.9884
1834.63 49.7870
1834.87 29.6358
1835.11 19.2860
1835.36 13.4406
1835.60 9.86344
1835.85 7.53075
1836.33 4.78903
1836.82 3.30738
1837.31 2.41959
1838.28 1.45675
1839.26 0.973128
1840.24 0.697055
1841.21 0.524476
1842.19 0.409661
1844.14 0.270893
1846.09 0.193539
1848.04 0.146046
1849.99 0.114829
1853.89 0.0777240
1857.80 0.0575243
1861.70 0.0455529
1865.60 0.0381915
1873.41 0.0316560
1877.31 0.0318158
1881.21 0.0352540
1885.11 0.0455242
1887.07 0.0566066
1889.02 0.0772332
1890.97 0.121342
1891.94 0.164831
1892.92 0.242855
1893.41 0.307639
1893.90 0.405085
1894.38 0.561510
1894.87 0.835447
1895.36 1.38514
1895.60 1.89439
1895.85 2.74935
1896.09 4.34578
1896.21 5.71690
1896.33 7.83983
1896.46 11.3561
1896.58 17.7065
1896.64 22.9025
1896.70 30.4501
1896.76 41.6470
1896.82 57.8910
1896.91 92.6599
