74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
5.395760e+01 4.43320061e-01
5.474910e+01 3.89757842e-01
5.573750e+01 3.22923503e-01
5.625000e+01 3.04167888e-01
5.633220e+01 3.01369839e-01
5.765010e+01 2.56560661e-01
5.791520e+01 2.51284843e-01
5.949820e+01 2.19849117e-01
5.956260e+01 2.18575592e-01
6.028980e+01 2.10681327e-01
6.068550e+01 2.06433129e-01
6.108130e+01 2.02260373e-01
6.147510e+01 1.98296675e-01
6.147700e+01 1.98294085e-01
6.167490e+01 1.98197124e-01
6.187280e+01 1.98379973e-01
6.197170e+01 1.98679777e-01
6.207070e+01 1.99243783e-01
6.216960e+01 2.00285711e-01
6.226860e+01 2.02285900e-01
6.236750e+01 2.06523590e-01
6.241700e+01 2.10549393e-01
6.243130e+01 2.12530252e-01
6.246640e+01 2.17994307e-01
6.250000e+01 2.27325347e-01
6.251590e+01 2.31766614e-01
6.254060e+01 2.43372240e-01
6.256540e+01 2.61148063e-01
6.259010e+01 2.90419835e-01
6.261480e+01 3.43185005e-01
6.262720e+01 3.86461512e-01
6.263960e+01 4.49491920e-01
6.265190e+01 5.43587906e-01
6.265810e+01 6.06944647e-01
6.266430e+01 6.83765973e-01
6.267320e+01 8.19673840e-01
6.268220e+01 9.74783836e-01
6.270000e+01 1.16879765e+00
6.270890e+01 1.11180756e+00
6.271790e+01 9.75145643e-01
6.273570e+01 6.84663658e-01
6.274780e+01 5.47037258e-01
6.276000e+01 4.54210827e-01
6.277210e+01 3.91663659e-01
6.278420e+01 3.48629096e-01
6.280840e+01 2.96123836e-01
6.283270e+01 2.67191053e-01
6.285690e+01 2.49856261e-01
6.288120e+01 2.38800789e-01
6.292960e+01 2.26251013e-01
6.297810e+01 2.19897604e-01
6.302660e+01 2.16437304e-01
6.312360e+01 2.13439706e-01
6.322050e+01 2.12745452e-01
6.331750e+01 2.13041803e-01
6.338760e+01 2.13612374e-01
6.341450e+01 2.14993355e-01
6.351140e+01 2.20240251e-01
6.370540e+01 2.31176076e-01
6.386570e+01 2.40450875e-01
6.389930e+01 2.44583609e-01
6.410480e+01 2.70048988e-01
6.428720e+01 3.11880274e-01
6.434390e+01 3.24912316e-01
6.458290e+01 4.41348043e-01
6.467510e+01 5.28817947e-01
6.470250e+01 5.54817895e-01
6.482200e+01 7.55516854e-01
6.494150e+01 1.16105381e+00
6.500130e+01 1.53974746e+00
6.506100e+01 2.18056507e+00
6.506290e+01 2.21905208e+00
6.512080e+01 3.39190046e+00
6.515070e+01 4.44533556e+00
6.518060e+01 6.09779791e+00
6.521050e+01 8.88780219e+00
6.524030e+01 1.40711241e+01
6.525530e+01 1.84376844e+01
6.527020e+01 2.49614816e+01
6.528520e+01 3.49896254e+01
6.530010e+01 5.04490127e+01
6.531010e+01 6.45110493e+01
6.532010e+01 8.05509467e+01
6.534000e+01 1.00579763e+02
6.536000e+01 8.05195353e+01
6.537990e+01 5.04128173e+01
6.539680e+01 3.33690608e+01
6.541370e+01 2.29437509e+01
6.543060e+01 1.64853288e+01
6.544750e+01 1.23276586e+01
6.548130e+01 7.57792192e+00
6.551510e+01 5.11549469e+00
6.554900e+01 3.69118651e+00
6.558280e+01 2.79819235e+00
6.565040e+01 1.78767260e+00
6.571800e+01 1.26069228e+00
6.578560e+01 9.52169946e-01
6.583870e+01 8.23375518e-01
6.592080e+01 6.24250129e-01
6.605610e+01 4.62770461e-01
6.619130e+01 3.71479507e-01
6.646180e+01 2.77139598e-01
6.673230e+01 2.31587683e-01
6.700270e+01 2.05922026e-01
6.739010e+01 1.86660094e-01
6.754370e+01 1.79038223e-01
6.862550e+01 1.57376961e-01
6.875000e+01 1.56283279e-01
6.894160e+01 1.54710221e-01
6.970740e+01 1.48510490e-01
6.971730e+01 1.48484204e-01
7.049310e+01 1.46534083e-01
7.126880e+01 1.44786047e-01
7.204460e+01 1.43458092e-01
7.243240e+01 1.43112437e-01
7.282030e+01 1.43178147e-01
7.320820e+01 1.44004734e-01
7.359600e+01 1.46409679e-01
7.379000e+01 1.48795402e-01
7.388690e+01 1.50500031e-01
7.398390e+01 1.52696085e-01
