57-La_n-g
> 57-La-139:1.000000
1.426430e+03 1.75208000e+00
1.426480e+03 8.91697000e-01
1.426530e+03 5.37982000e-01
1.426630e+03 2.57294000e-01
1.426740e+03 1.50689000e-01
1.426950e+03 7.04644000e-02
1.427150e+03 4.12721000e-02
1.427990e+03 1.26212000e-02
1.429650e+03 7.46053000e-03
1.431310e+03 1.86262000e-02
1.431730e+03 3.13032000e-02
1.432150e+03 6.71297000e-02
1.432350e+03 1.16109000e-01
1.432560e+03 2.50523000e-01
1.432670e+03 4.29039000e-01
1.432770e+03 8.98864000e-01
1.432820e+03 1.49059000e+00
1.432850e+03 2.03201000e+00
1.432870e+03 2.92846000e+00
1.432900e+03 4.56695000e+00
1.432910e+03 5.94288000e+00
1.432930e+03 8.02464000e+00
1.432940e+03 1.13624000e+01
1.432950e+03 1.71084000e+01
1.432970e+03 2.78231000e+01
1.432980e+03 4.81703000e+01
1.432990e+03 7.74639000e+01
1.433000e+03 9.62944000e+01
1.433010e+03 7.74642000e+01
1.433020e+03 4.81708000e+01
1.433040e+03 2.78236000e+01
1.433050e+03 1.77093000e+01
1.433060e+03 1.16983000e+01
1.433070e+03 8.43736000e+00
1.433090e+03 6.20786000e+00
1.433100e+03 4.83960000e+00
1.433120e+03 3.11745000e+00
1.433150e+03 2.16950000e+00
1.433170e+03 1.59468000e+00
1.433220e+03 9.64121000e-01
1.433320e+03 4.61333000e-01
1.433420e+03 2.69633000e-01
1.433620e+03 1.24923000e-01
1.433820e+03 7.22146000e-02
1.434220e+03 3.32394000e-02
1.434620e+03 1.93129000e-02
