33-As_n-tot
>  33-As-75:1.000000
7.329140e+02 8.93886000e+02
7.333000e+02 1.15838000e+03
7.336860e+02 1.00703000e+03
7.340720e+02 7.32040000e+02
7.343470e+02 6.04378000e+02
7.346220e+02 5.35714000e+02
7.351720e+02 5.27427000e+02
7.357220e+02 6.66646000e+02
7.362720e+02 9.96345000e+02
7.368360e+02 1.57837000e+03
7.374000e+02 2.01795000e+03
7.379640e+02 1.67789000e+03
7.385280e+02 1.09862000e+03
7.390590e+02 7.28023000e+02
7.395900e+02 5.06537000e+02
7.401210e+02 3.71619000e+02
7.406520e+02 2.85273000e+02
7.417140e+02 1.86237000e+02
7.427760e+02 1.33864000e+02
7.438370e+02 1.02686000e+02
7.448990e+02 8.24931000e+01
7.470230e+02 5.85120000e+01
7.491470e+02 4.51205000e+01
7.512710e+02 3.67466000e+01
7.555180e+02 2.70370000e+01
7.597660e+02 2.16775000e+01
7.640130e+02 1.83186000e+01
7.682610e+02 1.60279000e+01
7.725080e+02 1.43684000e+01
7.810030e+02 1.21225000e+01
7.894980e+02 1.06633000e+01
7.979930e+02 9.62673000e+00
8.064880e+02 8.84038000e+00
8.234780e+02 7.68714000e+00
8.404680e+02 6.81745000e+00
8.574580e+02 6.03831000e+00
8.659530e+02 5.62245000e+00
8.680770e+02 5.50840000e+00
8.702000e+02 5.38932000e+00
8.712620e+02 5.33156000e+00
8.717930e+02 5.30715000e+00
8.723240e+02 5.29260000e+00
8.728550e+02 5.30656000e+00
8.731200e+02 5.34157000e+00
8.733860e+02 5.42280000e+00
8.736510e+02 5.61380000e+00
8.737840e+02 5.80185000e+00
8.739170e+02 6.12222000e+00
8.740500e+02 6.71131000e+00
8.741820e+02 7.91585000e+00
8.742490e+02 9.01745000e+00
8.743150e+02 1.07820000e+01
8.743810e+02 1.37432000e+01
8.744480e+02 1.87828000e+01
8.745240e+02 2.78848000e+01
8.746000e+02 3.47454000e+01
8.746760e+02 2.97779000e+01
8.747520e+02 2.11419000e+01
8.748330e+02 1.51427000e+01
8.749130e+02 1.17780000e+01
8.749930e+02 9.83180000e+00
8.750730e+02 8.63264000e+00
8.751530e+02 7.84793000e+00
8.752330e+02 7.30750000e+00
8.753930e+02 6.63051000e+00
8.755530e+02 6.23478000e+00
8.757140e+02 5.98060000e+00
8.760340e+02 5.67773000e+00
8.763540e+02 5.50375000e+00
8.766750e+02 5.38914000e+00
8.773150e+02 5.24072000e+00
8.785960e+02 5.06124000e+00
8.798780e+02 4.92908000e+00
8.824400e+02 4.69160000e+00
8.850030e+02 4.44399000e+00
8.875660e+02 4.17044000e+00
8.888470e+02 4.03173000e+00
8.901280e+02 3.92158000e+00
8.914090e+02 3.94552000e+00
8.920500e+02 4.12086000e+00
8.926910e+02 4.60595000e+00
8.933310e+02 5.91478000e+00
8.936520e+02 7.33422000e+00
8.939720e+02 9.95443000e+00
8.942920e+02 1.52729000e+01
8.944530e+02 2.00831000e+01
8.946130e+02 2.77714000e+01
8.947730e+02 4.08829000e+01
8.949330e+02 6.51082000e+01
8.950130e+02 8.51940000e+01
8.950930e+02 1.14563000e+02
8.951730e+02 1.58363000e+02
8.952530e+02 2.23544000e+02
8.953770e+02 3.72858000e+02
8.955000e+02 4.87197000e+02
8.956230e+02 4.08478000e+02
8.957470e+02 2.68227000e+02
8.958740e+02 1.71282000e+02
8.960020e+02 1.16199000e+02
8.961300e+02 8.40314000e+01
8.962570e+02 6.40812000e+01
8.963850e+02 5.09703000e+01
8.965120e+02 4.19182000e+01
8.967680e+02 3.05639000e+01
8.970230e+02 2.39516000e+01
8.972780e+02 1.97371000e+01
8.977880e+02 1.48110000e+01
8.982990e+02 1.20998000e+01
8.988090e+02 1.04164000e+01
8.998300e+02 8.46545000e+00
9.008510e+02 7.37370000e+00
9.018710e+02 6.67004000e+00
9.039130e+02 5.78897000e+00
9.059540e+02 5.22358000e+00
9.079960e+02 4.79860000e+00
9.120790e+02 4.14611000e+00
9.141210e+02 3.89418000e+00
9.161620e+02 3.72345000e+00
9.182040e+02 3.72928000e+00
9.202450e+02 4.18054000e+00
9.212660e+02 4.78786000e+00
9.222870e+02 5.92823000e+00
9.233070e+02 8.09522000e+00
9.243280e+02 1.24240000e+01
9.248380e+02 1.61901000e+01
9.253490e+02 2.19364000e+01
9.258590e+02 3.11007000e+01
9.263700e+02 4.65962000e+01
9.268800e+02 7.49809000e+01
9.271350e+02 9.84492000e+01
9.273900e+02 1.33048000e+02
9.276460e+02 1.86148000e+02
9.279010e+02 2.71399000e+02
9.281560e+02 4.14347000e+02
9.284110e+02 6.58052000e+02
9.287060e+02 1.10189000e+03
9.290000e+02 1.44178000e+03
9.292950e+02 1.20755000e+03
9.295900e+02 7.90098000e+02
9.298650e+02 5.23613000e+02
9.301400e+02 3.63630000e+02
9.304150e+02 2.65999000e+02
9.306900e+02 2.03563000e+02
9.312400e+02 1.32178000e+02
9.317900e+02 9.46862000e+01
9.323410e+02 7.25468000e+01
9.328910e+02 5.83231000e+01
